customer_id,first_name,last_name,gender,email,phone,address,city,state,signup_date
1,Trevor,Brown,M,hallthomas@example.com,(614)342-5111,"23251 Mueller Ramp Suite 912,West Tiffanyfort, NM 84306",Port Tammy,West Virginia,2024-05-31
2,Justin,Miller,F,joseph24@example.com,(734)932-1114,"31769 Bobby Harbor,Lake Janetland, WI 43086",Lake Malik,North Dakota,2026-06-06
3,Joseph,Herrera,M,elizabethaguirre@example.net,(585)876-9114x4512,"0181 Stephanie Lock,South Kevin, NJ 41626",North Kelly,Missouri,2025-03-19
4,Sara,Fisher,M,elizabethgraham@example.org,487.888.4088x97523,"62997 Hill Crossroad,Tonyafort, MP 43396",North Aaron,Hawaii,2025-01-11
5,David,Santos,M,hernandezanthony@example.net,001-844-771-0782x703,"02174 Howard Valleys,North Kathleen, DE 80003",South Tracy,Ohio,2024-08-11
6,Barbara,Johnson,M,michael56@example.com,5886469180,"494 Williams Prairie,South Jeanetteburgh, MP 48295",New Tiffanyshire,Montana,2024-07-28
7,Thomas,Brewer,F,janicedavis@example.net,597-568-3950x121,"PSC 7542, Box 9396,APO AA 28859",Philipchester,North Carolina,2024-05-22
8,Tyler,Williams,M,dianacastillo@example.net,5213779317,"5766 David Way Suite 889,Blairton, AL 98735",East Amyburgh,Delaware,2026-02-05
9,Christina,Smith,F,mdixon@example.org,8705038083,"72783 White Gateway,West Charles, KS 49007",New Darrell,Washington,2025-01-02
10,Lisa,Davis,M,kristi78@example.org,217-316-5243x28346,"04051 Tim Isle,Smithview, DE 58294",East Williamport,Oregon,2026-05-20
11,Angela,Mclaughlin,M,amanda11@example.com,(693)827-5782x5778,"720 Emily Plaza Suite 077,East Robert, WA 01688",Caitlinfort,Florida,2023-10-15
12,Deborah,Martinez,M,henry52@example.com,001-799-897-4753x6370,"4962 Rodriguez Run Apt. 616,Scottfurt, NY 03903",Lake Michael,Missouri,2024-02-20
13,Clarence,Allen,M,ukennedy@example.net,613.828.0491x5140,"436 Young Groves Apt. 092,South Tammybury, MH 55172",Port Chelseaberg,Connecticut,2024-09-18
14,Rebecca,Farmer,F,uyang@example.org,001-650-780-3499x21521,"514 Andrews Cape,Allenmouth, GU 69885",Masonburgh,Virginia,2025-07-30
15,Claudia,Vargas,F,andrewsanna@example.org,403.852.4847,"5000 Veronica Ridge,South Jason, IA 74097",Portertown,Utah,2025-09-27
16,David,Choi,M,perezmatthew@example.org,845.560.6099,"2494 Hensley Groves,West Annamouth, MT 83719",Markmouth,Rhode Island,2026-03-08
17,Kelly,Norman,M,acastillo@example.org,(203)286-4423x920,"8603 Antonio Brook Suite 536,Lake Amyport, ID 12890",North Julianview,Wisconsin,2023-12-15
18,Rhonda,Brown,M,alyssacooper@example.com,594-796-3564x41675,"3562 Tyler Port,Villegasstad, MO 37098",Lisaport,Texas,2024-06-20
19,Courtney,Foley,M,philipvalencia@example.net,552-957-4567x97487,"259 Shannon Trafficway,West Patrickhaven, NY 99498",New Courtney,South Carolina,2024-08-29
20,Heather,Williams,F,dennisjones@example.net,+1-905-467-5845x22954,"11713 Laurie Village Apt. 201,Austinborough, VA 64139",Stevenberg,Nebraska,2025-05-23
21,Joshua,Jordan,M,khubbard@example.net,789-934-9804x3325,"53594 Parker Drives,Mcbrideton, RI 28934",Jasmineburgh,Indiana,2023-08-10
